選者殿のジュードは、困っているようだ。			選者殿のジュードは、困っているようだ。			蒼の星を探して							
はっ……！つい長々と……すみませんすみません！			はっ……！つい長々と……すみませんすみません！			蒼の星を探して							
……あぁ、そうか。あなたは、キィ・アリアポーさんの紹介で来てくれた、職人さんなんですね……？			……あぁ、そうか。あなたは、キィ・アリアポーさんの紹介で来てくれた、職人さんなんですね……？			蒼の星を探して							
せっかく声をかけてくださったのに、ごめんなさい。直す望遠鏡がないんじゃ、どうしようもないですよね……。			せっかく声をかけてくださったのに、ごめんなさい。直す望遠鏡がないんじゃ、どうしようもないですよね……。			蒼の星を探して							
何と言う？			何と言う？			蒼の星を探して							
直す望遠鏡がないなら……			直す望遠鏡がないなら……			蒼の星を探して							
新しい物を作ってしまえばいい			新しい物を作ってしまえばいい			蒼の星を探して							
そ、そうか……。修理できないなら、新しい物を作ればいいのか……。			そ、そうか……。修理できないなら、新しい物を作ればいいのか……。			蒼の星を探して							
最新の望遠鏡と言えば、観測精度を高めるために、大きく歪みのない高価なレンズの開発競争が続いていて、天文学的な予算が必要になるけど……			最新の望遠鏡と言えば、観測精度を高めるために、大きく歪みのない高価なレンズの開発競争が続いていて、天文学的な予算が必要になるけど……			蒼の星を探して							
最新の望遠鏡、なんて高望みをしなければ、うちの少ない研究費でも、作れるものがある……かも……。			最新の望遠鏡、なんて高望みをしなければ、うちの少ない研究費でも、作れるものがある……かも……。			蒼の星を探して							
そうと決まれば、さっそく調べてみます……！「ヌーメノン大書院」なら、望遠鏡について記した書物があるはずですから……。			そうと決まれば、さっそく調べてみます……！「ヌーメノン大書院」なら、望遠鏡について記した書物があるはずですから……。			蒼の星を探して							
知らない人がいっぱいいる場所は、怖いけど……。あの星を見つけるために、勇気を振り絞れジュード……！			知らない人がいっぱいいる場所は、怖いけど……。あの星を見つけるために、勇気を振り絞れジュード……！			蒼の星を探して							
ジュードは、走り去っていった……。心配なので「ヌーメノン大書院」まで彼を追いかけよう。			ジュードは、走り去っていった……。心配なので「ヌーメノン大書院」まで彼を追いかけよう。			蒼の星を探して							
あ、あなたは……書物を探すのを手伝ってくれるんですか？			あ、あなたは……書物を探すのを手伝ってくれるんですか？			蒼の星を探して							
ありがとうございます……。あなたのように親切なひとは、僕の人生では二人目です！			ありがとうございます……。あなたのように親切なひとは、僕の人生では二人目です！			蒼の星を探して							
経験上、僕に親しげなそぶりで近づいてくる輩は、87.96％の確率で、返すつもりのない金を借りようとする、見知らぬ自称友人なのですが……。			経験上、僕に親しげなそぶりで近づいてくる輩は、87.96％の確率で、返すつもりのない金を借りようとする、見知らぬ自称友人なのですが……。			蒼の星を探して							
と、ともかく、この書院のどこかに、「望遠鏡」について書かれた本があるはずです。手分けして探してみましょう……！			と、ともかく、この書院のどこかに、「望遠鏡」について書かれた本があるはずです。手分けして探してみましょう……！			蒼の星を探して							
何か見つけたら、僕に見せてください。			何か見つけたら、僕に見せてください。			蒼の星を探して							
うーん、あれでもない、これでもない……。			うーん、あれでもない、これでもない……。			蒼の星を探して							
良さそうな本はありましたか？			良さそうな本はありましたか？			蒼の星を探して							
おお……3冊も持ってきてくれたんですね。さっそく、1冊ずつ中身を見てみましょう……。			おお……3冊も持ってきてくれたんですね。さっそく、1冊ずつ中身を見てみましょう……。			蒼の星を探して							
まずは、『天文台の歴史』から……天文台と巨大望遠鏡について書かれた書物のようですね。			まずは、『天文台の歴史』から……天文台と巨大望遠鏡について書かれた書物のようですね。			蒼の星を探して							
うーん……望遠鏡としては申し分ない機能が備わっていますが、国家プロジェクト並の予算がなければ、天文台を造るなんて……。とても良い本ですが、うちの研究会とは無縁のようです。			うーん……望遠鏡としては申し分ない機能が備わっていますが、国家プロジェクト並の予算がなければ、天文台を造るなんて……。とても良い本ですが、うちの研究会とは無縁のようです。			蒼の星を探して							
では、次に『望遠鏡大全』を読んでみましょう。			では、次に『望遠鏡大全』を読んでみましょう。			蒼の星を探して							
ふむふむ……望遠鏡の構造について、非常に詳しく解説されている良い本ですね。			ふむふむ……望遠鏡の構造について、非常に詳しく解説されている良い本ですね。			蒼の星を探して							
しかし、ここに載っている通りに作るとなると、部品代だけで高くついてしまいますね……。うちのような零細研究会では、とてもとても……。			しかし、ここに載っている通りに作るとなると、部品代だけで高くついてしまいますね……。うちのような零細研究会では、とてもとても……。			蒼の星を探して							
最後の本は……『星見要録』……？			最後の本は……『星見要録』……？			蒼の星を探して							
星見鏡なんて聞いたことがありませんでしたが……古代の占星術師が星を読むために作った魔具、と書かれています。なるほど、これなら手ごろな価格で作ることができるかも……。			星見鏡なんて聞いたことがありませんでしたが……古代の占星術師が星を読むために作った魔具、と書かれています。なるほど、これなら手ごろな価格で作ることができるかも……。			蒼の星を探して							
でも、望遠鏡の光学的性能が成果に直結する現代の天文学において、レンズすらない星読みのための古い魔具なんて、役に立つのかな？……いや、他に選択肢はないんだ、やるしかない……。			でも、望遠鏡の光学的性能が成果に直結する現代の天文学において、レンズすらない星読みのための古い魔具なんて、役に立つのかな？……いや、他に選択肢はないんだ、やるしかない……。			蒼の星を探して							
改めて、お願いさせてください……。僕と一緒に、星見鏡を作るお手伝いをしていただけないでしょうか？お礼は大学から支給されるスクリップしかありませんが……。			改めて、お願いさせてください……。僕と一緒に、星見鏡を作るお手伝いをしていただけないでしょうか？お礼は大学から支給されるスクリップしかありませんが……。			蒼の星を探して							
ありがとうございます……。さっそく「工匠殿」に向かいましょう。望遠鏡修理のために、工房の使用申請も出してありますので……！			ありがとうございます……。さっそく「工匠殿」に向かいましょう。望遠鏡修理のために、工房の使用申請も出してありますので……！			蒼の星を探して							
大昔の星読みのための魔具、星見鏡……。あれなら、うちの研究会の活動費でも、どうにか作れそうだ、というのはわかりました……。			大昔の星読みのための魔具、星見鏡……。あれなら、うちの研究会の活動費でも、どうにか作れそうだ、というのはわかりました……。			蒼の星を探して							
問題は、僕の目的を叶えるほどの精度で、実際に星を観測することができるのかですが……。うーん、こんな時、彼なら……			問題は、僕の目的を叶えるほどの精度で、実際に星を観測することができるのかですが……。うーん、こんな時、彼なら……			蒼の星を探して							
(-？？？？-)よう、ジュード！相変わらず辛気臭い面してやがるな！			(-？？？？-)よう、ジュード！相変わらず辛気臭い面してやがるな！			蒼の星を探して							
ひぃっ！だ、だれですか！？			ひぃっ！だ、だれですか！？			蒼の星を探して							
だれかと思えば、ジェロメールじゃないか！ついに天文学部に入る気になったのかい？			だれかと思えば、ジェロメールじゃないか！ついに天文学部に入る気になったのかい？			蒼の星を探して							
おいおい、オレをそんじょそこらのジェロメールと一緒にするな。オレは、この星に数多いるジェロメールの中でも、もっともイケてるジェロメールだ。			おいおい、オレをそんじょそこらのジェロメールと一緒にするな。オレは、この星に数多いるジェロメールの中でも、もっともイケてるジェロメールだ。			蒼の星を探して							
いや……僕が知っているジェロメールは、幼なじみの君ひとりだけど……。			いや……僕が知っているジェロメールは、幼なじみの君ひとりだけど……。			蒼の星を探して							
なあジュード、オレは悲しいぜ。オレたちが出会って10年経つってのに、いまだにお前は、天文学なんて古臭い学問にこだわっている……。			なあジュード、オレは悲しいぜ。オレたちが出会って10年経つってのに、いまだにお前は、天文学なんて古臭い学問にこだわっている……。			蒼の星を探して							
オレたちは「大学生」なんだぜ？バラ色のキャンパスライフを棒に振るつもりか？			オレたちは「大学生」なんだぜ？バラ色のキャンパスライフを棒に振るつもりか？			蒼の星を探して							
天体観測なんてとっとと辞めて、オレと一緒に文法学部で可愛いパートナーを探そうぜ！			天体観測なんてとっとと辞めて、オレと一緒に文法学部で可愛いパートナーを探そうぜ！			蒼の星を探して							
オレは文法学部の「詩吟同好会」って集まりに入ってんだ。気の合う仲間たちとお茶しながら詩を詠むのさ。最高にイケてるだろ？			オレは文法学部の「詩吟同好会」って集まりに入ってんだ。気の合う仲間たちとお茶しながら詩を詠むのさ。最高にイケてるだろ？			蒼の星を探して							
ジェロメール……僕に天文学を教えてくれたのは君だった。それがどうして……もう星に対する興味がなくなってしまったのかい？			ジェロメール……僕に天文学を教えてくれたのは君だった。それがどうして……もう星に対する興味がなくなってしまったのかい？			蒼の星を探して							
あ～……ともかくだ、ジュード。お前をこんな寂れた学部にひとり置いておきたくないんだ。オレと一緒に来ること、考えておいてくれよな。			あ～……ともかくだ、ジュード。お前をこんな寂れた学部にひとり置いておきたくないんだ。オレと一緒に来ること、考えておいてくれよな。			蒼の星を探して							
何と言う？			何と言う？			蒼の星を探して							
どういう関係？			どういう関係？			蒼の星を探して							
友達なのか？			友達なのか？			蒼の星を探して							
ああ、すみません……。彼、ジェロメールは、子どもの頃からの親友なんです。			ああ、すみません……。彼、ジェロメールは、子どもの頃からの親友なんです。			蒼の星を探して							
僕たちは、物心ついた時から星を見るのが好きで、よく一緒に夜空を見上げていました。			僕たちは、物心ついた時から星を見るのが好きで、よく一緒に夜空を見上げていました。			蒼の星を探して							
10年前、ジェロメールと参加した子ども向けの天体観測実習で、僕たちは夜空に浮かぶ、不思議な蒼い光を見たんです。			10年前、ジェロメールと参加した子ども向けの天体観測実習で、僕たちは夜空に浮かぶ、不思議な蒼い光を見たんです。			蒼の星を探して							
それが未発見の天体を示す輝きだと結論づけた僕たちは、すぐに魔法大学の天文学部に報告しました。			それが未発見の天体を示す輝きだと結論づけた僕たちは、すぐに魔法大学の天文学部に報告しました。			蒼の星を探して							
しかし、魔法大学の観測では、僕たちが示した位置に、蒼い光などは確認できず……。結局、子どもの見間違いだと、片付けられてしまいました。			しかし、魔法大学の観測では、僕たちが示した位置に、蒼い光などは確認できず……。結局、子どもの見間違いだと、片付けられてしまいました。			蒼の星を探して							
悔しい思いをした僕たちは、魔法大学の天文学部に入って、もう一度あの星……「蒼の星」を見つけようと約束したんです。			悔しい思いをした僕たちは、魔法大学の天文学部に入って、もう一度あの星……「蒼の星」を見つけようと約束したんです。			蒼の星を探して							
しかし、僕より1年早く魔法大学に入ったジェロメールは、僕が入学する頃にはすっかり変わってしまっていた。まるで、昔の約束なんて忘れてしまったかのように……。			しかし、僕より1年早く魔法大学に入ったジェロメールは、僕が入学する頃にはすっかり変わってしまっていた。まるで、昔の約束なんて忘れてしまったかのように……。			蒼の星を探して							
僕は、10年前の約束を果たすため、天文学部に入って、活動をはじめました……。でも、昔から僕はひとりじゃ何もできない気弱な性格で……。			僕は、10年前の約束を果たすため、天文学部に入って、活動をはじめました……。でも、昔から僕はひとりじゃ何もできない気弱な性格で……。			蒼の星を探して							
いつもジェロメールに引っ張られてきた僕が、本当にひとりで、蒼の星をみつけることができるんでしょうか？			いつもジェロメールに引っ張られてきた僕が、本当にひとりで、蒼の星をみつけることができるんでしょうか？			蒼の星を探して							
何と言う？			何と言う？			蒼の星を探して							
ひとりじゃない			ひとりじゃない			蒼の星を探して							
手を貸すよ			手を貸すよ			蒼の星を探して							
うじうじするな！			うじうじするな！			蒼の星を探して							
そう、でしたね……。あなたが一緒に手伝ってくれるなら、もしかしたら……。			そう、でしたね……。あなたが一緒に手伝ってくれるなら、もしかしたら……。			蒼の星を探して							
僕になにができるのか、わからないけど……少しだけ頑張ってみます……。			僕になにができるのか、わからないけど……少しだけ頑張ってみます……。			蒼の星を探して							
ヒイッ……！怒らないでください……！			ヒイッ……！怒らないでください……！			蒼の星を探して							
と、ともかく……僕になにができるのか、わからないけど……少しだけ頑張ってみます……。			と、ともかく……僕になにができるのか、わからないけど……少しだけ頑張ってみます……。			蒼の星を探して							
ありがとうございます……えっと……そういえば、まだお名前を聞いていませんでしたね。			ありがとうございます……えっと……そういえば、まだお名前を聞いていませんでしたね。			蒼の星を探して							
Surnameさん……。こんな僕ですが、一緒に頑張りましょう……！			Surnameさん……。こんな僕ですが、一緒に頑張りましょう……！			蒼の星を探して							
「天文学部」のシャーレアン魔法大学取引が開放されました！「ジュード」に話しかけて、納品を開始しましょう！			「天文学部」のシャーレアン魔法大学取引が開放されました！「ジュード」に話しかけて、納品を開始しましょう！			蒼の星を探して							
工匠殿のジュードは、星見鏡の製作を開始したようだ。			工匠殿のジュードは、星見鏡の製作を開始したようだ。			ともだち、いない							
ジュードから部品の製作を依頼された。「星見鏡支柱」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「110」以上で可能となりますが、「220」以上で納品した場合、より多くの報酬が得られます。			ジュードから部品の製作を依頼された。「星見鏡支柱」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「110」以上で可能となりますが、「220」以上で納品した場合、より多くの報酬が得られます。			ともだち、いない							
ジュードに「星見鏡支柱」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			ジュードに「星見鏡支柱」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			ともだち、いない							
ジュードに星見鏡支柱を納品			ジュードに星見鏡支柱を納品			ともだち、いない							
それでは、さっそく星見鏡製作を始めていきましょう！			それでは、さっそく星見鏡製作を始めていきましょう！			ともだち、いない							
Surnameさんには、星見鏡に必要な部品のひとつ……「星見鏡支柱」の製作をお願いさせてください……！			Surnameさんには、星見鏡に必要な部品のひとつ……「星見鏡支柱」の製作をお願いさせてください……！			ともだち、いない							
「天文学部」への納品が開始されました！依頼されたアイテムをジュードに納品し、貢献していきましょう！			「天文学部」への納品が開始されました！依頼されたアイテムをジュードに納品し、貢献していきましょう！			ともだち、いない							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			ともだち、いない							
星見鏡に必要な部品のひとつ、「星見鏡支柱」の製作をお願いします……！			星見鏡に必要な部品のひとつ、「星見鏡支柱」の製作をお願いします……！			ともだち、いない							
製作ありがとうございます。あなたが手伝ってくれて、本当に助かります……！			製作ありがとうございます。あなたが手伝ってくれて、本当に助かります……！			ともだち、いない							
何て素晴らしい技術なんだ……あなたが一等星のように輝いて見えます……！			何て素晴らしい技術なんだ……あなたが一等星のように輝いて見えます……！			ともだち、いない							
依頼品を納品したことで、ジュードはあなたの貢献を実感し始めました。			依頼品を納品したことで、ジュードはあなたの貢献を実感し始めました。			ともだち、いない							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			ともだち、いない							
ご協力ありがとうございます！あなたがいれば、本当に星見鏡を完成させることができるかも……。			ご協力ありがとうございます！あなたがいれば、本当に星見鏡を完成させることができるかも……。			ともだち、いない							
いいか、ジュード。今日はお前に、イケてる大学生活ってのがどんなモンか教えてやる。			いいか、ジュード。今日はお前に、イケてる大学生活ってのがどんなモンか教えてやる。			ともだち、いない							
バーベキュー……って知ってるか？			バーベキュー……って知ってるか？			ともだち、いない							
バーベ……キュー……？			バーベ……キュー……？			ともだち、いない							
新大陸沿岸の島々発祥の料理で、半日以上かけて、じっくりと肉を焼き上げるんだ！			新大陸沿岸の島々発祥の料理で、半日以上かけて、じっくりと肉を焼き上げるんだ！			ともだち、いない							
最近じゃ、静かにひとりで楽しむって連中も多いようだが、オレたち「詩吟同好会」のは、ひと味違う！みんなで火を囲み、詩を詠み合いながら、交流を深めるのさ！			最近じゃ、静かにひとりで楽しむって連中も多いようだが、オレたち「詩吟同好会」のは、ひと味違う！みんなで火を囲み、詩を詠み合いながら、交流を深めるのさ！			ともだち、いない							
肉を焦がす炎を見つめていたら、愛しいあの子への想いも恋焦がれちまうってこともあるのかな！？どうなんだよ、ええオイ！？			肉を焦がす炎を見つめていたら、愛しいあの子への想いも恋焦がれちまうってこともあるのかな！？どうなんだよ、ええオイ！？			ともだち、いない							
僕に聞かれても……。			僕に聞かれても……。			ともだち、いない							
詩吟同好会に来れば、お前もこんなイケてる遊びができるんだぜ？			詩吟同好会に来れば、お前もこんなイケてる遊びができるんだぜ？			ともだち、いない							
さすが、ジェロメールはすごいよ。僕の知らないことを何でも知っているんだから。でも、ほかの誰かと一緒に食事なんて、緊張しちゃうな。			さすが、ジェロメールはすごいよ。僕の知らないことを何でも知っているんだから。でも、ほかの誰かと一緒に食事なんて、緊張しちゃうな。			ともだち、いない							
おいおい、何言ってんだよ。お前だって同じ学部の友達と、昼飯食ったりするだろ？			おいおい、何言ってんだよ。お前だって同じ学部の友達と、昼飯食ったりするだろ？			ともだち、いない							
ともだち、いない……。			ともだち、いない……。			ともだち、いない							
え？			え？			ともだち、いない							
友達の作り方、学校で教えてくれなかった……。			友達の作り方、学校で教えてくれなかった……。			ともだち、いない							
…………。			…………。			ともだち、いない							
オレはお前のこと、ずっと友達だと思ってるけどな。ともかく、こんな所にひとりでいても、交友関係は広がらないぜ。「詩吟同好会」の件、考えておいてくれよな！			オレはお前のこと、ずっと友達だと思ってるけどな。ともかく、こんな所にひとりでいても、交友関係は広がらないぜ。「詩吟同好会」の件、考えておいてくれよな！			ともだち、いない							
ジェロメール……。			ジェロメール……。			ともだち、いない							
ジェロメールはさすがです……。僕のような根暗な人間とは正反対の人たちの集まりで、友達もたくさん作って、上手くやってるんだろうな……。			ジェロメールはさすがです……。僕のような根暗な人間とは正反対の人たちの集まりで、友達もたくさん作って、上手くやってるんだろうな……。			ともだち、いない							
僕も、彼のようになれたら……。			僕も、彼のようになれたら……。			ともだち、いない							
何と言う？			何と言う？			ともだち、いない							
きっとなれる			きっとなれる			ともだち、いない							
ジュード次第だ			ジュード次第だ			ともだち、いない							
うじうじするな！！			うじうじするな！！			ともだち、いない							
そう、ですね……。最初から無理と決めつけていたら、何も始まらない……。			そう、ですね……。最初から無理と決めつけていたら、何も始まらない……。			ともだち、いない							
よし、顔を上げるんだ、ジュード……。下を向いてばかりじゃ、空に浮かぶ星は見えないんだから……！			よし、顔を上げるんだ、ジュード……。下を向いてばかりじゃ、空に浮かぶ星は見えないんだから……！			ともだち、いない							
ひぃ～！怒鳴るのはやめてください～！！			ひぃ～！怒鳴るのはやめてください～！！			ともだち、いない							
でも、Surnameさんは正しい……。顔を上げるんだ、ジュード……。下を向いてばかりじゃ、空に浮かぶ星は見えないんだから……！			でも、Surnameさんは正しい……。顔を上げるんだ、ジュード……。下を向いてばかりじゃ、空に浮かぶ星は見えないんだから……！			ともだち、いない							
何と言う？			何と言う？			ともだち、いない							
そうだな			そうだな			ともだち、いない							
上手いこと言ったつもりか？			上手いこと言ったつもりか？			ともだち、いない							
そうですよね……なんだか、元気が出てきました……！			そうですよね……なんだか、元気が出てきました……！			ともだち、いない							
やっぱり、僕はダサくてしょうもないヤツなんだ……。			やっぱり、僕はダサくてしょうもないヤツなんだ……。			ともだち、いない							
ありがとうございます……でも、結局慰めるなら傷つけるのやめてください……。僕の心は、木人のように丈夫じゃないんですから……。			ありがとうございます……でも、結局慰めるなら傷つけるのやめてください……。僕の心は、木人のように丈夫じゃないんですから……。			ともだち、いない							
さて……星見鏡の完成には、まだまだ部品が足りません。			さて……星見鏡の完成には、まだまだ部品が足りません。			ともだち、いない							
準備が出来次第、次の製作依頼をさせてください。お待ちしています。			準備が出来次第、次の製作依頼をさせてください。お待ちしています。			ともだち、いない							
Surnameさんの励ましを受けて、僕の心が「マーモット並み」の激弱ハートから、「プリン並み」の柔らかハートに成長した気がするぞ……。			Surnameさんの励ましを受けて、僕の心が「マーモット並み」の激弱ハートから、「プリン並み」の柔らかハートに成長した気がするぞ……。			ともだち、いない							
天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「怖くない人」と感じているようです！			天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「怖くない人」と感じているようです！			ともだち、いない							
次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル83以上になると、工匠殿の「ジュード」から受注可能です。			次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル83以上になると、工匠殿の「ジュード」から受注可能です。			ともだち、いない							
工匠殿のジュードは、引き続き依頼をしたいようだ。			工匠殿のジュードは、引き続き依頼をしたいようだ。			吟じます							
ジュードから部品の製作を依頼された。「エーテル観測部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			ジュードから部品の製作を依頼された。「エーテル観測部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			吟じます							
ジュードに「エーテル観測部材」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			ジュードに「エーテル観測部材」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			吟じます							
ジュードにエーテル観測部材を納品			ジュードにエーテル観測部材を納品			吟じます							
Surnameさん、お待ちしていました。			Surnameさん、お待ちしていました。			吟じます							
そろそろ次の依頼をさせていただきたいのですが、準備はよろしいですか……？			そろそろ次の依頼をさせていただきたいのですが、準備はよろしいですか……？			吟じます							
ありがとうございます。			ありがとうございます。			吟じます							
今回、お願いしたいのは、星見鏡にとって心臓部とも呼べる重要な部品です。			今回、お願いしたいのは、星見鏡にとって心臓部とも呼べる重要な部品です。			吟じます							
通常の望遠鏡が捉えるのは光ですが、星見鏡は遠方のエーテルのゆらめきを魔法的に感知するんです。			通常の望遠鏡が捉えるのは光ですが、星見鏡は遠方のエーテルのゆらめきを魔法的に感知するんです。			吟じます							
その役割を担う「エーテル観測部材」は、観測精度に直結しますから、正確な仕上げが欠かせません。どうか、よろしくお願いします……！			その役割を担う「エーテル観測部材」は、観測精度に直結しますから、正確な仕上げが欠かせません。どうか、よろしくお願いします……！			吟じます							
「エーテル観測部材」を製作していただけますか？遠くにあるエーテルのゆらめきを感知する、重要な部品です。			「エーテル観測部材」を製作していただけますか？遠くにあるエーテルのゆらめきを感知する、重要な部品です。			吟じます							
ご協力ありがとうございます。星見鏡の完成が一歩近づきました。			ご協力ありがとうございます。星見鏡の完成が一歩近づきました。			吟じます							
おお、これは……ひとめ見ただけでも、精巧に作られているのがわかります……。これなら、どんなに離れたエーテルのゆらめきでも感知できますよ。			おお、これは……ひとめ見ただけでも、精巧に作られているのがわかります……。これなら、どんなに離れたエーテルのゆらめきでも感知できますよ。			吟じます							
今回も、ご協力いただきありがとうございます。まだ先は長いですが、引き続き……			今回も、ご協力いただきありがとうございます。まだ先は長いですが、引き続き……			吟じます							
なあ、ジュード。いつもいつもこんな場所に閉じこもっていたら、息が詰まるだろ。外に出たら、もっとイケてることがたくさんあるってのによ。			なあ、ジュード。いつもいつもこんな場所に閉じこもっていたら、息が詰まるだろ。外に出たら、もっとイケてることがたくさんあるってのによ。			吟じます							
イケてることって……たとえば……？			イケてることって……たとえば……？			吟じます							
そうだな……朝はラストスタンドに行って、コーヒーを飲むんだ。その後はパフィン広場で、みんなで詩を詠み聞かせあいながら、互いのことを深く知るのさ。			そうだな……朝はラストスタンドに行って、コーヒーを飲むんだ。その後はパフィン広場で、みんなで詩を詠み聞かせあいながら、互いのことを深く知るのさ。			吟じます							
僕、詩なんて書いたことないよ……。			僕、詩なんて書いたことないよ……。			吟じます							
イケてる人間になるためのチャレンジだと思って、ひとつ詠んでみろよ、ジュード。自分の心を、詩で表現するのさ……！			イケてる人間になるためのチャレンジだと思って、ひとつ詠んでみろよ、ジュード。自分の心を、詩で表現するのさ……！			吟じます							
……それで君に近づくことができるなら……。			……それで君に近づくことができるなら……。			吟じます							
