選者殿のボリックは、悩んでいるようだ。			選者殿のボリックは、悩んでいるようだ。			ルルシャ教授と奇妙な遺物							
うぅ……ナモノ教授、怖かったな～！俺よりも若いのに教授を務めている優秀な方なんですけど、研究でピリピリしているから、ちょっと近づきがたくて……。			うぅ……ナモノ教授、怖かったな～！俺よりも若いのに教授を務めている優秀な方なんですけど、研究でピリピリしているから、ちょっと近づきがたくて……。			ルルシャ教授と奇妙な遺物							
修復したいのは、このお魚みたいな顔をした遺物よ。お魚に縁がある聖人チャタの名前をお借りして、私は「黄金のチャタ号」って呼んでいるの。			修復したいのは、このお魚みたいな顔をした遺物よ。お魚に縁がある聖人チャタの名前をお借りして、私は「黄金のチャタ号」って呼んでいるの。			ルルシャ教授と奇妙な遺物							
とあるグリーナーさんが、魔法大学に持ち込んできた品でねぇ……。			とあるグリーナーさんが、魔法大学に持ち込んできた品でねぇ……。			ルルシャ教授と奇妙な遺物							
外部で発掘された遺物のうえに、この見た目だから、ナモノ教授のように、価値のない「ガラクタ」と言う人も多いわ。でも私は、魔法人形の一種だと考えているの。			外部で発掘された遺物のうえに、この見た目だから、ナモノ教授のように、価値のない「ガラクタ」と言う人も多いわ。でも私は、魔法人形の一種だと考えているの。			ルルシャ教授と奇妙な遺物							
教授の言葉を疑いたくはないんですけど、これ、本当に魔法人形なんです……？俺には、鳥か魚を模した装飾品にしか見えなくて。			教授の言葉を疑いたくはないんですけど、これ、本当に魔法人形なんです……？俺には、鳥か魚を模した装飾品にしか見えなくて。			ルルシャ教授と奇妙な遺物							
その……まさかとは思いますけど、実は古代の飛空艇か何かを模したもので、これも空を飛ぶのよ……なんて、言いませんよね？			その……まさかとは思いますけど、実は古代の飛空艇か何かを模したもので、これも空を飛ぶのよ……なんて、言いませんよね？			ルルシャ教授と奇妙な遺物							
案外、ボリックの言葉通りになるかもしれないわよ？それに、チャタ号が魔法人形だということには確信があるわ。			案外、ボリックの言葉通りになるかもしれないわよ？それに、チャタ号が魔法人形だということには確信があるわ。			ルルシャ教授と奇妙な遺物							
一般的なウルダハ製の魔法人形とは違うけれど、とても複雑な内部構造を持っているんですもの。			一般的なウルダハ製の魔法人形とは違うけれど、とても複雑な内部構造を持っているんですもの。			ルルシャ教授と奇妙な遺物							
ともかく、修理さえしてあげれば、きっとこの子は動き出すわ。それに、この子にはきっと特別な能力がある……考古学者としての勘が、そう言っているのよ。			ともかく、修理さえしてあげれば、きっとこの子は動き出すわ。それに、この子にはきっと特別な能力がある……考古学者としての勘が、そう言っているのよ。			ルルシャ教授と奇妙な遺物							
うーん……勘、ですか～。			うーん……勘、ですか～。			ルルシャ教授と奇妙な遺物							
それでね、Forenameさん。この子、外見こそ目立った傷は少ないのだけれど、中身の部品は破損、欠損が酷いのよ。			それでね、Forenameさん。この子、外見こそ目立った傷は少ないのだけれど、中身の部品は破損、欠損が酷いのよ。			ルルシャ教授と奇妙な遺物							
だから、修復と言いつつも、部品の交換や補充がかなり必要になるから、実際には複製品を作るに等しい作業量になるわ。			だから、修復と言いつつも、部品の交換や補充がかなり必要になるから、実際には複製品を作るに等しい作業量になるわ。			ルルシャ教授と奇妙な遺物							
もし、それでも大丈夫であれば……どうか、お婆ちゃんに力を貸してはくれないかしら。この子に秘められているものを、私は解き明かしたいのよ。			もし、それでも大丈夫であれば……どうか、お婆ちゃんに力を貸してはくれないかしら。この子に秘められているものを、私は解き明かしたいのよ。			ルルシャ教授と奇妙な遺物							
まあまあ！引き受けてくれて、本当にありがとう……！おかげで、ようやくこの子の修復が始められるわ。			まあまあ！引き受けてくれて、本当にありがとう……！おかげで、ようやくこの子の修復が始められるわ。			ルルシャ教授と奇妙な遺物							
Forenameさん、これから、どうぞよろしくねぇ。			Forenameさん、これから、どうぞよろしくねぇ。			ルルシャ教授と奇妙な遺物							
それじゃあ、さっそくだけれど、修復作業について、具体的なお話をさせてちょうだい。			それじゃあ、さっそくだけれど、修復作業について、具体的なお話をさせてちょうだい。			ルルシャ教授と奇妙な遺物							
まず手を付けたいのは外装よ。見たところ腐食はしていないようだけど、外れた部品が干渉したのか、内側に傷が多くてねぇ。			まず手を付けたいのは外装よ。見たところ腐食はしていないようだけど、外れた部品が干渉したのか、内側に傷が多くてねぇ。			ルルシャ教授と奇妙な遺物							
ただでさえ、内部の構造が特殊で複雑なものだから、まずは器となる外装を整えることから始めないと、安心して修復を進められないでしょう？			ただでさえ、内部の構造が特殊で複雑なものだから、まずは器となる外装を整えることから始めないと、安心して修復を進められないでしょう？			ルルシャ教授と奇妙な遺物							
そうは言っても、あなたにも準備があるでしょうから、作業を始められそうになったら、声をかけてちょうだいねぇ。			そうは言っても、あなたにも準備があるでしょうから、作業を始められそうになったら、声をかけてちょうだいねぇ。			ルルシャ教授と奇妙な遺物							
「考古学部」のシャーレアン魔法大学取引が開放されました！「ルルシャ」に話しかけて、納品を開始しましょう！			「考古学部」のシャーレアン魔法大学取引が開放されました！「ルルシャ」に話しかけて、納品を開始しましょう！			ルルシャ教授と奇妙な遺物							
工匠殿のルルシャは、さっそく修復に取り掛かりたいようだ。			工匠殿のルルシャは、さっそく修復に取り掛かりたいようだ。			眠れる黄金の魔法人形							
ルルシャから部品の製作を依頼された。「黄金の外装部品」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「110」以上で可能となりますが、「220」以上で納品した場合、より多くの報酬が得られます。			ルルシャから部品の製作を依頼された。「黄金の外装部品」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「110」以上で可能となりますが、「220」以上で納品した場合、より多くの報酬が得られます。			眠れる黄金の魔法人形							
ルルシャに「黄金の外装部品」を納品した。更なる修復のため、準備が整い次第ふたたびルルシャに声をかけよう。			ルルシャに「黄金の外装部品」を納品した。更なる修復のため、準備が整い次第ふたたびルルシャに声をかけよう。			眠れる黄金の魔法人形							
ルルシャに黄金の外装部品を納品			ルルシャに黄金の外装部品を納品			眠れる黄金の魔法人形							
いらっしゃい、Forenameさん。さっそく修復作業を始めようと思うのだけど、いいかしら？			いらっしゃい、Forenameさん。さっそく修復作業を始めようと思うのだけど、いいかしら？			眠れる黄金の魔法人形							
よかった、あなたも準備万端みたいね。それじゃあ「黄金の外装部品」の製作を頼める？交換作業は私がやるから、部品が完成したら納品をお願いねぇ。			よかった、あなたも準備万端みたいね。それじゃあ「黄金の外装部品」の製作を頼める？交換作業は私がやるから、部品が完成したら納品をお願いねぇ。			眠れる黄金の魔法人形							
「考古学部」への納品が開始されました！依頼されたアイテムをルルシャに納品し、貢献していきましょう！			「考古学部」への納品が開始されました！依頼されたアイテムをルルシャに納品し、貢献していきましょう！			眠れる黄金の魔法人形							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			眠れる黄金の魔法人形							
金銀で作られた遺物って、盗掘被害を受けやすいんですよ。美術商や収集家が、高値で買い取ってたりするので……。そう考えると、チャタ号も貴重……なんですかね～？			金銀で作られた遺物って、盗掘被害を受けやすいんですよ。美術商や収集家が、高値で買い取ってたりするので……。そう考えると、チャタ号も貴重……なんですかね～？			眠れる黄金の魔法人形							
「黄金の外装部品」の製作をお願いねぇ。あなたの腕前に期待しているわ。			「黄金の外装部品」の製作をお願いねぇ。あなたの腕前に期待しているわ。			眠れる黄金の魔法人形							
作ってくれて、ありがとう。あの子の部品を交換するのが、楽しみだわ。			作ってくれて、ありがとう。あの子の部品を交換するのが、楽しみだわ。			眠れる黄金の魔法人形							
作ってくれて、ありがとう。この部品、厚みも綺麗に均一で、精確な仕上がり……。あなたみたいな腕のいい職人さんが来てくれて、嬉しいわぁ。			作ってくれて、ありがとう。この部品、厚みも綺麗に均一で、精確な仕上がり……。あなたみたいな腕のいい職人さんが来てくれて、嬉しいわぁ。			眠れる黄金の魔法人形							
依頼品を納品したことで、ルルシャはあなたの貢献を実感し始めました。			依頼品を納品したことで、ルルシャはあなたの貢献を実感し始めました。			眠れる黄金の魔法人形							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			眠れる黄金の魔法人形							
繋ぎ目に隙間もないし、本当に素晴らしい部品ねぇ。無事に、この子の外装が整ったわ。			繋ぎ目に隙間もないし、本当に素晴らしい部品ねぇ。無事に、この子の外装が整ったわ。			眠れる黄金の魔法人形							
Forenameさんが来てくれたおかげで、ようやく修復作業が始められて……お婆ちゃん感激よ。			Forenameさんが来てくれたおかげで、ようやく修復作業が始められて……お婆ちゃん感激よ。			眠れる黄金の魔法人形							
ルルシャ教授がご機嫌で、俺も嬉しいんですけど……残りの研究資金、全部これに投資しちゃって、本当に大丈夫なんですかね……？			ルルシャ教授がご機嫌で、俺も嬉しいんですけど……残りの研究資金、全部これに投資しちゃって、本当に大丈夫なんですかね……？			眠れる黄金の魔法人形							
ボリックは心配性ねぇ。大丈夫よ、私を信じてちょうだい。私の勘がはずれたことは、今までなかったでしょう？			ボリックは心配性ねぇ。大丈夫よ、私を信じてちょうだい。私の勘がはずれたことは、今までなかったでしょう？			眠れる黄金の魔法人形							
それはまぁ、そうですけど……。うちの研究室に与えられている今期の予算は、遺物の購入と修復に必要な諸経費で、すっからかんですよ～。			それはまぁ、そうですけど……。うちの研究室に与えられている今期の予算は、遺物の購入と修復に必要な諸経費で、すっからかんですよ～。			眠れる黄金の魔法人形							
必要経費だもの、しかたないわ。それに、お金を使うべきところでは、ちゃんと使っておいたほうが無駄にならないものなのよ？			必要経費だもの、しかたないわ。それに、お金を使うべきところでは、ちゃんと使っておいたほうが無駄にならないものなのよ？			眠れる黄金の魔法人形							
半端な投資が良くないのはわかりますけど、思い切りが良すぎるのも、それはそれで考えものですって～！			半端な投資が良くないのはわかりますけど、思い切りが良すぎるのも、それはそれで考えものですって～！			眠れる黄金の魔法人形							
Forenameさん、あなたにお支払いするスクリップは、ちゃんと確保してあるから、心配しないでちょうだいね。			Forenameさん、あなたにお支払いするスクリップは、ちゃんと確保してあるから、心配しないでちょうだいね。			眠れる黄金の魔法人形							
研究室の財政難については、このくらいにしておいて……次は、この子の内部の修復に着手しようと思うの。			研究室の財政難については、このくらいにしておいて……次は、この子の内部の修復に着手しようと思うの。			眠れる黄金の魔法人形							
ただ、今まで以上に技術が求められそうでねぇ。準備が整ったら、またお婆ちゃんに、声をかけてくれると嬉しいわ。			ただ、今まで以上に技術が求められそうでねぇ。準備が整ったら、またお婆ちゃんに、声をかけてくれると嬉しいわ。			眠れる黄金の魔法人形							
考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復のお手伝いさん」と感じているようです！			考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復のお手伝いさん」と感じているようです！			眠れる黄金の魔法人形							
次のクエストは、「鍛冶師／甲冑師／彫金師」のいずれかがレベル83以上になると、工匠殿の「ルルシャ」から受注可能です。			次のクエストは、「鍛冶師／甲冑師／彫金師」のいずれかがレベル83以上になると、工匠殿の「ルルシャ」から受注可能です。			眠れる黄金の魔法人形							
工匠殿のルルシャは、不足している部品に気づいたようだ。			工匠殿のルルシャは、不足している部品に気づいたようだ。			噛み合うもの、噛み合わぬもの							
ルルシャから部品の製作を依頼された。「黄金の精密歯車」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			ルルシャから部品の製作を依頼された。「黄金の精密歯車」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			噛み合うもの、噛み合わぬもの							
ルルシャに「黄金の精密歯車」を納品した。黄金のチャタ号が起動しない原因について、ルルシャの調査が終わるのを待とう。			ルルシャに「黄金の精密歯車」を納品した。黄金のチャタ号が起動しない原因について、ルルシャの調査が終わるのを待とう。			噛み合うもの、噛み合わぬもの							
ルルシャに黄金の精密歯車を納品			ルルシャに黄金の精密歯車を納品			噛み合うもの、噛み合わぬもの							
あらあら、よく来てくれたわねぇ。			あらあら、よく来てくれたわねぇ。			噛み合うもの、噛み合わぬもの							
ああっ、よかった……あなたがもう来なかったりしたら、どうしようかと！もう心配で、心配で、資料の整理もままならなくてっ……！			ああっ、よかった……あなたがもう来なかったりしたら、どうしようかと！もう心配で、心配で、資料の整理もままならなくてっ……！			噛み合うもの、噛み合わぬもの							
ボリック、Forenameさんは、請け負ったことを、途中で放り出すような方じゃないわ。			ボリック、Forenameさんは、請け負ったことを、途中で放り出すような方じゃないわ。			噛み合うもの、噛み合わぬもの							
すっ、すみませ～～んっ！本当に悪気はまったくなくてですね！？手伝いを断られることばかりだったから、とにかく心配で！			すっ、すみませ～～んっ！本当に悪気はまったくなくてですね！？手伝いを断られることばかりだったから、とにかく心配で！			噛み合うもの、噛み合わぬもの							
どうか、気を悪くしないでちょうだいねぇ。ボリックは、昔から心配性なところがあるから……。			どうか、気を悪くしないでちょうだいねぇ。ボリックは、昔から心配性なところがあるから……。			噛み合うもの、噛み合わぬもの							
それよりも、依頼についてお話ししましょう。今回、お願いしたいのは、極小サイズの精密歯車よ。			それよりも、依頼についてお話ししましょう。今回、お願いしたいのは、極小サイズの精密歯車よ。			噛み合うもの、噛み合わぬもの							
外装部品の内側が傷ついていた原因を調べてみたのだけど、欠けた歯車が悪さをしていたことが、判明したの……。つまり頑丈さも必要なの、作れるかしら？			外装部品の内側が傷ついていた原因を調べてみたのだけど、欠けた歯車が悪さをしていたことが、判明したの……。つまり頑丈さも必要なの、作れるかしら？			噛み合うもの、噛み合わぬもの							
何と言う？			何と言う？			噛み合うもの、噛み合わぬもの							
問題なし！			問題なし！			噛み合うもの、噛み合わぬもの							
難しい作業になりそうだ……			難しい作業になりそうだ……			噛み合うもの、噛み合わぬもの							
ふふ、それじゃあ、「黄金の精密歯車」の製作をお願いね。今回も、あなたの知識と技術に期待しているわ。			ふふ、それじゃあ、「黄金の精密歯車」の製作をお願いね。今回も、あなたの知識と技術に期待しているわ。			噛み合うもの、噛み合わぬもの							
小さい遺物なので、内部の歯車もすっごく小さいんですよ～。見立てでは第三星暦の……アラグ文明の品ではないものの、技術力はそれに迫るものがありそうですよね……。			小さい遺物なので、内部の歯車もすっごく小さいんですよ～。見立てでは第三星暦の……アラグ文明の品ではないものの、技術力はそれに迫るものがありそうですよね……。			噛み合うもの、噛み合わぬもの							
「黄金の精密歯車」の製作をお願いね。今回も、あなたの知識と技術に期待しているわ。			「黄金の精密歯車」の製作をお願いね。今回も、あなたの知識と技術に期待しているわ。			噛み合うもの、噛み合わぬもの							
歯車の準備、助かるわ。あなたは本当に器用な職人さんなのねぇ……。			歯車の準備、助かるわ。あなたは本当に器用な職人さんなのねぇ……。			噛み合うもの、噛み合わぬもの							
歯車の準備、助かるわ。こんなにも小さな部品なのに、とても精巧……。あなたの細やかで丁寧な仕事ぶりが、うかがえるわねぇ。			歯車の準備、助かるわ。こんなにも小さな部品なのに、とても精巧……。あなたの細やかで丁寧な仕事ぶりが、うかがえるわねぇ。			噛み合うもの、噛み合わぬもの							
あなたが作ってくれた歯車、綺麗に噛み合ってくれたわ。これで動いてくれたら良いんだけれど……。			あなたが作ってくれた歯車、綺麗に噛み合ってくれたわ。これで動いてくれたら良いんだけれど……。			噛み合うもの、噛み合わぬもの							
黄金のチャタ号が、ほんの少しだけ弾むように動いた！しかし、遺物はそのまま沈黙してしまっている。修復すべき箇所が、まだ残っているようだ。			黄金のチャタ号が、ほんの少しだけ弾むように動いた！しかし、遺物はそのまま沈黙してしまっている。修復すべき箇所が、まだ残っているようだ。			噛み合うもの、噛み合わぬもの							
あらあら、まあまあ！チャタ号、がんばってくれたじゃない。この調子でいけば、じきにちゃんと起動してくれそうだわ。			あらあら、まあまあ！チャタ号、がんばってくれたじゃない。この調子でいけば、じきにちゃんと起動してくれそうだわ。			噛み合うもの、噛み合わぬもの							
いや、ちょっと動いただけで、すぐ止まっちゃいましたよ！？ルルシャ教授～、本当に……ほんと～に、この遺物の修復を続けて大丈夫なんですか？			いや、ちょっと動いただけで、すぐ止まっちゃいましたよ！？ルルシャ教授～、本当に……ほんと～に、この遺物の修復を続けて大丈夫なんですか？			噛み合うもの、噛み合わぬもの							
周囲の目も厳しくなる一方だし、ルルシャ教授の評価も、このままだとどうなることか……。俺は心配で心配で、どうにかなりそうですよ～っ！			周囲の目も厳しくなる一方だし、ルルシャ教授の評価も、このままだとどうなることか……。俺は心配で心配で、どうにかなりそうですよ～っ！			噛み合うもの、噛み合わぬもの							
大袈裟ねぇ、ボリックは。この子は、魔道士らしき人物の墳墓で見つかった副葬品。恐らく当時は、重要な品と考えられていたはずよ。			大袈裟ねぇ、ボリックは。この子は、魔道士らしき人物の墳墓で見つかった副葬品。恐らく当時は、重要な品と考えられていたはずよ。			噛み合うもの、噛み合わぬもの							
それに、同じ墳墓で見つかったのは、呪具や魔具の類ばかり。いずれも魔法的な効果を持つ「実用的」な品だったというわ。だとすれば、この子にだって……。			それに、同じ墳墓で見つかったのは、呪具や魔具の類ばかり。いずれも魔法的な効果を持つ「実用的」な品だったというわ。だとすれば、この子にだって……。			噛み合うもの、噛み合わぬもの							
可能性だけの話をするなら、ただの思い出の品や、貢物の類かもしれないですし……。			可能性だけの話をするなら、ただの思い出の品や、貢物の類かもしれないですし……。			噛み合うもの、噛み合わぬもの							
それに、チャタ号を教授に売ったグリーナーは、贋物を持ち込んだことがあったそうじゃないですか～！彼の出土状況に関する証言だって、信用していいのか……。			それに、チャタ号を教授に売ったグリーナーは、贋物を持ち込んだことがあったそうじゃないですか～！彼の出土状況に関する証言だって、信用していいのか……。			噛み合うもの、噛み合わぬもの							
一度の過ちを、いつまでも責め立てるのはよくないわ。それでも、どうしても気になるというなら、ここは私の勘を信じてちょうだい。			一度の過ちを、いつまでも責め立てるのはよくないわ。それでも、どうしても気になるというなら、ここは私の勘を信じてちょうだい。			噛み合うもの、噛み合わぬもの							
……ボリックが言っていた、グリーナーさんの話は事実よ。稀少な品を扱う彼らにとって、真贋の見極めは不可欠。けれど、誰だって間違えることぐらいあるわ。			……ボリックが言っていた、グリーナーさんの話は事実よ。稀少な品を扱う彼らにとって、真贋の見極めは不可欠。けれど、誰だって間違えることぐらいあるわ。			噛み合うもの、噛み合わぬもの							
それに、万が一この子が贋物だったとしたら、買い取った私に、見る目がなかっただけのこと。少なくとも、そうはならないと私は思っているわ。			それに、万が一この子が贋物だったとしたら、買い取った私に、見る目がなかっただけのこと。少なくとも、そうはならないと私は思っているわ。			噛み合うもの、噛み合わぬもの							
自分の判断は、自分で信じてあげないとねぇ。もちろん、過信しすぎるのもよくはないけれど。			自分の判断は、自分で信じてあげないとねぇ。もちろん、過信しすぎるのもよくはないけれど。			噛み合うもの、噛み合わぬもの							
それはともかくとして、今回うまく起動できなかった原因は、調べておくわ。だからまた、時間があるときに顔を出してちょうだいねぇ。			それはともかくとして、今回うまく起動できなかった原因は、調べておくわ。だからまた、時間があるときに顔を出してちょうだいねぇ。			噛み合うもの、噛み合わぬもの							
考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復の客員工匠」と感じているようです！			考古学部の貢献ランクが上昇しました！ルルシャはあなたの事を、「遺物修復の客員工匠」と感じているようです！			噛み合うもの、噛み合わぬもの							
次のクエストは、「鍛冶師／甲冑師／彫金師」のいずれかがレベル85以上になると、工匠殿の「ルルシャ」から受注可能です。			次のクエストは、「鍛冶師／甲冑師／彫金師」のいずれかがレベル85以上になると、工匠殿の「ルルシャ」から受注可能です。			噛み合うもの、噛み合わぬもの							
工匠殿のルルシャは、気になる部品があるようだ。			工匠殿のルルシャは、気になる部品があるようだ。			投資されるべき研究							
ルルシャから部品の製作を依頼された。「黄金の動力部品」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			ルルシャから部品の製作を依頼された。「黄金の動力部品」を6個製作し、工匠殿の「ルルシャ」へ納品しよう。※納品は、収集価値「150」以上で可能となりますが、「320」以上で納品した場合、より多くの報酬が得られます。			投資されるべき研究							
