槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			勇気の証明							
中央森林へ向かえ。同胞を救い、槍術士フールクに打ち勝て。お前の「勇気」を証明してみせろ！			中央森林へ向かえ。同胞を救い、槍術士フールクに打ち勝て。お前の「勇気」を証明してみせろ！			勇気の証明							
たっ、助けてくれぇっ！			たっ、助けてくれぇっ！			勇気の証明							
ああ、ありがとう……。仲間との訓練中、突然、シェーダー族の槍術士に襲われたんだ。			ああ、ありがとう……。仲間との訓練中、突然、シェーダー族の槍術士に襲われたんだ。			勇気の証明							
勇気を磨くのならば、魔物の大群に囲まれて生き延びてみせろ、と放り出されてね。もう少しで奴らの胃袋の中だった……助かったよ。			勇気を磨くのならば、魔物の大群に囲まれて生き延びてみせろ、と放り出されてね。もう少しで奴らの胃袋の中だった……助かったよ。			勇気の証明							
ん、その槍術士かい？北部森林の「フォールゴウド」の方へ去っていったな。			ん、その槍術士かい？北部森林の「フォールゴウド」の方へ去っていったな。			勇気の証明							
心配無用、私の仲間がフォールゴウドにも応援を呼びに行った。君が手を煩わせるまでもないだろう。			心配無用、私の仲間がフォールゴウドにも応援を呼びに行った。君が手を煩わせるまでもないだろう。			勇気の証明							
きっと今頃は、熟練の槍術士に囲まれて震えながら許しを請うていることだろうさ。			きっと今頃は、熟練の槍術士に囲まれて震えながら許しを請うていることだろうさ。			勇気の証明							
随分、遅かったじゃないですか……。			随分、遅かったじゃないですか……。			勇気の証明							
同胞を助けていた……？そんなもの、裏切られるだけだと言うのに。			同胞を助けていた……？そんなもの、裏切られるだけだと言うのに。			勇気の証明							
そう……私をグリダニアから追放した者達のようにね。			そう……私をグリダニアから追放した者達のようにね。			勇気の証明							
私はかつて都市に住み、ギルドで槍を振るっていた。しかし生活は苦しく、ある時ギルドの槍術士達と共謀し、盗みを働いた……。			私はかつて都市に住み、ギルドで槍を振るっていた。しかし生活は苦しく、ある時ギルドの槍術士達と共謀し、盗みを働いた……。			勇気の証明							
私達の行いは、すぐに明るみに出た。己の過ちを恥じた私は、みずから罪を告白した。だが、「奴ら」は……。			私達の行いは、すぐに明るみに出た。己の過ちを恥じた私は、みずから罪を告白した。だが、「奴ら」は……。			勇気の証明							
そこで、ようやく気づいたんです。槍術士どもが、シェーダー族である私を恐れ、妬み、陥れようとしていたということに。			そこで、ようやく気づいたんです。槍術士どもが、シェーダー族である私を恐れ、妬み、陥れようとしていたということに。			勇気の証明							
ああ、あの時、仲間など信じず、ひとりで金を奪って逃げていれば……。			ああ、あの時、仲間など信じず、ひとりで金を奪って逃げていれば……。			勇気の証明							
番兵を殺してでも牢を抜け、裏切り者に、真実を吐かせていれば……！			番兵を殺してでも牢を抜け、裏切り者に、真実を吐かせていれば……！			勇気の証明							
確かに、あの時の私には「勇気」が足りなかった。			確かに、あの時の私には「勇気」が足りなかった。			勇気の証明							
あの憎しみを忘れぬため、そして「臆病者」への復讐のため、私は真なる勇気を磨いた。			あの憎しみを忘れぬため、そして「臆病者」への復讐のため、私は真なる勇気を磨いた。			勇気の証明							
生き血をかぶり、魔物の群れに単身飛び込んだ！獣の子を殺し、怒り狂った母獣とも戦った！			生き血をかぶり、魔物の群れに単身飛び込んだ！獣の子を殺し、怒り狂った母獣とも戦った！			勇気の証明							
冒険者……貴様には、わかるまい。この、煮えたぎる怒りに鍛えられた勇気を……。			冒険者……貴様には、わかるまい。この、煮えたぎる怒りに鍛えられた勇気を……。			勇気の証明							
私は「臆病者」ではない……私は何も怖れない……私こそが、真の槍術士だ！			私は「臆病者」ではない……私は何も怖れない……私こそが、真の槍術士だ！			勇気の証明							
くっ……！私の……勇気こそ……ッ！			くっ……！私の……勇気こそ……ッ！			勇気の証明							
くそッ！　くそぉォオオッ！！			くそッ！　くそぉォオオッ！！			勇気の証明							
来るなぁぁああッ！！			来るなぁぁああッ！！			勇気の証明							
試練を成し遂げたようだな。……よく、戻った。			試練を成し遂げたようだな。……よく、戻った。			勇気の証明							
Forename。蛮勇を振りかざす槍術士を、勇気の術をもって打ち倒したお前の実力、しかと見せてもらったぞ。			Forename。蛮勇を振りかざす槍術士を、勇気の術をもって打ち倒したお前の実力、しかと見せてもらったぞ。			勇気の証明							
その勇気を称え、槍術士ギルドマスター、イウェインの名のもと、ここに槍術士ギルドが秘技「ランスチャージ」を伝授する。			その勇気を称え、槍術士ギルドマスター、イウェインの名のもと、ここに槍術士ギルドが秘技「ランスチャージ」を伝授する。			勇気の証明							
……よし。もう、俺から教えることは何もねぇ。お前は槍術士として、「勇気」の意味を学び取った。			……よし。もう、俺から教えることは何もねぇ。お前は槍術士として、「勇気」の意味を学び取った。			勇気の証明							
これからは自分自身との戦いとなるだろう。乗り越えなきゃならねえ壁も、戦うべき敵も、すべてはお前次第ってわけだ。			これからは自分自身との戦いとなるだろう。乗り越えなきゃならねえ壁も、戦うべき敵も、すべてはお前次第ってわけだ。			勇気の証明							
強き者に、相応しき好敵手が現れる。お前の行く先に、必ず戦いは待ち受けている。……俺と、あの「ヌシ」のようにな。			強き者に、相応しき好敵手が現れる。お前の行く先に、必ず戦いは待ち受けている。……俺と、あの「ヌシ」のようにな。			勇気の証明							
壁のむこうが見えなくとも、恐れることはねえ。お前は「勇気」を知り、槍術の真価を引き出すことができるんだからな。			壁のむこうが見えなくとも、恐れることはねえ。お前は「勇気」を知り、槍術の真価を引き出すことができるんだからな。			勇気の証明							
さあ、お前を必要とする世界を、その「勇気」の槍で、切り拓いてゆけ！			さあ、お前を必要とする世界を、その「勇気」の槍で、切り拓いてゆけ！			勇気の証明							
クエスト「勇気の証明」のバトルを開始しますか？			クエスト「勇気の証明」のバトルを開始しますか？			勇気の証明							
はい			はい			勇気の証明							
いいえ			いいえ			勇気の証明							
クエスト「勇気の証明」のバトルを開始しますか？			クエスト「勇気の証明」のバトルを開始しますか？			勇気の証明							
はい			はい			勇気の証明							
いいえ			いいえ			勇気の証明							
こ、ここだ！　頼む、助けてくれぇっ！			こ、ここだ！　頼む、助けてくれぇっ！			勇気の証明							
うぐぅ……こ、このままじゃ……！			うぐぅ……こ、このままじゃ……！			勇気の証明							
こ……こんな、ところで……！			こ……こんな、ところで……！			勇気の証明							
Forenameどちらが本物か……決着をつけましょう！			Forenameどちらが本物か……決着をつけましょう！			勇気の証明							
く……臆病者ごときがっ！これならどうだっ！？			く……臆病者ごときがっ！これならどうだっ！？			勇気の証明							
はんっ、一騎うちに魔物を使うなど、卑怯だと言いたげですね……！			はんっ、一騎うちに魔物を使うなど、卑怯だと言いたげですね……！			勇気の証明							
これが、私の槍術……勝つための術！ギルドでじゃれあうだけの臆病者とは格が違うっ！			これが、私の槍術……勝つための術！ギルドでじゃれあうだけの臆病者とは格が違うっ！			勇気の証明							
あなたは私が認めた唯一の槍術士……。あなたをなぎ倒し、我が勇気の証明となしますっ！			あなたは私が認めた唯一の槍術士……。あなたをなぎ倒し、我が勇気の証明となしますっ！			勇気の証明							
槍術士ギルドマスター、イウェインは、冒険者を、ある人物に会わせようとしているようだ。			槍術士ギルドマスター、イウェインは、冒険者を、ある人物に会わせようとしているようだ。			いさおしき者たること							
名のある3人の槍術士に、勇気を認めてもらうよう言われた。まずは東部森林「アマリセ監視哨」にいる槍術士「マテオミ牙軍曹」を訪ね、声をかけよう。			名のある3人の槍術士に、勇気を認めてもらうよう言われた。まずは東部森林「アマリセ監視哨」にいる槍術士「マテオミ牙軍曹」を訪ね、声をかけよう。			いさおしき者たること							
マテオミ牙軍曹に認めてもらうために、課せられた試練をこなそう。アマリセ監視哨近くの大木へ向かい、「指定地点」に「六識の鮮血」をしかけよう。			マテオミ牙軍曹に認めてもらうために、課せられた試練をこなそう。アマリセ監視哨近くの大木へ向かい、「指定地点」に「六識の鮮血」をしかけよう。			いさおしき者たること							
現れた魔物ブラッドバットの討伐を終えた。「アマリセ監視哨」で待つ「マテオミ牙軍曹」に報告しよう。			現れた魔物ブラッドバットの討伐を終えた。「アマリセ監視哨」で待つ「マテオミ牙軍曹」に報告しよう。			いさおしき者たること							
マテオミ牙軍曹から、勇気を認めてもらうことができた。次の槍術士は、南部森林の酒房「バスカロンドラザーズ」にいる「バスカロン」。彼を訪ね、話を聞こう。			マテオミ牙軍曹から、勇気を認めてもらうことができた。次の槍術士は、南部森林の酒房「バスカロンドラザーズ」にいる「バスカロン」。彼を訪ね、話を聞こう。			いさおしき者たること							
バスカロンからフルフラワーの蜂蜜酒を渡され、ある場所に捧げてくるよう言われた。南部森林の岩間に佇む「ミスタルの槍」に「フルフラワーの蜂蜜酒」を捧げよう。			バスカロンからフルフラワーの蜂蜜酒を渡され、ある場所に捧げてくるよう言われた。南部森林の岩間に佇む「ミスタルの槍」に「フルフラワーの蜂蜜酒」を捧げよう。			いさおしき者たること							
ミスタルの槍にフルフラワーの蜂蜜酒を捧げた。「バスカロンドラザーズ」に戻り、「バスカロン」に報告しよう。			ミスタルの槍にフルフラワーの蜂蜜酒を捧げた。「バスカロンドラザーズ」に戻り、「バスカロン」に報告しよう。			いさおしき者たること							
バスカロンから、初代槍術士ギルドマスター「ミスタル」が槍術士ギルドに懸けた思いを聞かせてもらった。最後の槍術士は、北部森林の「フォールゴウド」にいる「ヴォクレール」。彼を訪ね、話を聞こう。			バスカロンから、初代槍術士ギルドマスター「ミスタル」が槍術士ギルドに懸けた思いを聞かせてもらった。最後の槍術士は、北部森林の「フォールゴウド」にいる「ヴォクレール」。彼を訪ね、話を聞こう。			いさおしき者たること							
ヴォクレールから、勇気を証明する試練を与えられた。まずは「バルーン」を倒し、「バルーンの小指」を6体分入手しよう。			ヴォクレールから、勇気を証明する試練を与えられた。まずは「バルーン」を倒し、「バルーンの小指」を6体分入手しよう。			いさおしき者たること							
入手した「バルーンの小指」を「焚き火跡」に使い、現れた「レッドバルーン」を討伐しよう。			入手した「バルーンの小指」を「焚き火跡」に使い、現れた「レッドバルーン」を討伐しよう。			いさおしき者たること							
レッドバルーンの討伐を完了した。「フォールゴウド」に戻り、「ヴォクレール」に報告しよう。			レッドバルーンの討伐を完了した。「フォールゴウド」に戻り、「ヴォクレール」に報告しよう。			いさおしき者たること							
3人の槍術士から、勇気を認めてもらうことができた。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			3人の槍術士から、勇気を認めてもらうことができた。「槍術士ギルド」に戻り、「イウェイン」に報告しよう。			いさおしき者たること							
名だたる槍術士から勇気を認められた冒険者に、誇らしげに頷くイウェイン。これからは然るべき時に降りかかる試練が、冒険者を成長させるだろうとのこと。最後にもう一度だけ、勇気を見せてもらいたいと言う。イウェインを満足させることができるよう、これまで学んだ勇気の意味を胸に、いっそう槍術に磨きをかけてこよう。※槍術士のレベルが30以上になると、イウェインから次の槍術士クエストを受注することができます。			名だたる槍術士から勇気を認められた冒険者に、誇らしげに頷くイウェイン。これからは然るべき時に降りかかる試練が、冒険者を成長させるだろうとのこと。最後にもう一度だけ、勇気を見せてもらいたいと言う。イウェインを満足させることができるよう、これまで学んだ勇気の意味を胸に、いっそう槍術に磨きをかけてこよう。※槍術士のレベルが30以上になると、イウェインから次の槍術士クエストを受注することができます。			いさおしき者たること							
アマリセ監視哨のマテオミ牙軍曹と話す			アマリセ監視哨のマテオミ牙軍曹と話す			いさおしき者たること							
指定地点に六識の鮮血を使う			指定地点に六識の鮮血を使う			いさおしき者たること							
マテオミ牙軍曹に報告			マテオミ牙軍曹に報告			いさおしき者たること							
バスカロンドラザーズのバスカロンと話す			バスカロンドラザーズのバスカロンと話す			いさおしき者たること							
ミスタルの槍にフルフラワーの蜂蜜酒を捧げる			ミスタルの槍にフルフラワーの蜂蜜酒を捧げる			いさおしき者たること							
バスカロンに報告			バスカロンに報告			いさおしき者たること							
フォールゴウドのヴォクレールと話す			フォールゴウドのヴォクレールと話す			いさおしき者たること							
バルーンからバルーンの小指を入手			バルーンからバルーンの小指を入手			いさおしき者たること							
焚き火跡にバルーンの小指を使う			焚き火跡にバルーンの小指を使う			いさおしき者たること							
ヴォクレールに報告			ヴォクレールに報告			いさおしき者たること							
槍術士ギルドのイウェインに報告			槍術士ギルドのイウェインに報告			いさおしき者たること							
よう、一段と腕を上げたようじゃねえか。次の試練に挑む準備は万端か？			よう、一段と腕を上げたようじゃねえか。次の試練に挑む準備は万端か？			いさおしき者たること							
お前は、茨の森の試練を突破し「勇気」の意味を掴んだ。今回の試練は、その「勇気」を3人の槍術士に示し、認めてもらうことだ。			お前は、茨の森の試練を突破し「勇気」の意味を掴んだ。今回の試練は、その「勇気」を3人の槍術士に示し、認めてもらうことだ。			いさおしき者たること							
3人の槍術士とは、お前と同じくこのギルドで学び、槍を極めた者。お前の先輩にあたる槍術士たちだ。			3人の槍術士とは、お前と同じくこのギルドで学び、槍を極めた者。お前の先輩にあたる槍術士たちだ。			いさおしき者たること							
「勇気」を最も知る者に「勇気」を認めてもらう。そうやって、俺たち槍術士は一人前になる。			「勇気」を最も知る者に「勇気」を認めてもらう。そうやって、俺たち槍術士は一人前になる。			いさおしき者たること							
ひとり目の槍術士は、東部森林「アマリセ監視哨」にいる「マテオミ牙軍曹」だ。			ひとり目の槍術士は、東部森林「アマリセ監視哨」にいる「マテオミ牙軍曹」だ。			いさおしき者たること							
グリダニアの第一線を守る、冷静沈着な槍術士。鍛えぬかれた目に、勇気を認めさせることができるか？さあ、行ってきな。			グリダニアの第一線を守る、冷静沈着な槍術士。鍛えぬかれた目に、勇気を認めさせることができるか？さあ、行ってきな。			いさおしき者たること							
君が噂の槍術士だね。私は双蛇党の衛士、マテオミ。このアマリセ監視哨で衛士たちの監督をしている。			君が噂の槍術士だね。私は双蛇党の衛士、マテオミ。このアマリセ監視哨で衛士たちの監督をしている。			いさおしき者たること							
なるほど、それなりに腕は鍛えているが、まだまだ経験は浅いと見える。			なるほど、それなりに腕は鍛えているが、まだまだ経験は浅いと見える。			いさおしき者たること							
この世界は広い。戦い慣れた鬼哭隊の衛士でも、惑わされる敵がいる。古の強者ですら、心乱される敵がいる。			この世界は広い。戦い慣れた鬼哭隊の衛士でも、惑わされる敵がいる。古の強者ですら、心乱される敵がいる。			いさおしき者たること							
いっぱしの槍術士を自負するのなら、ひとつ、強敵との戦いを制してもらおう。			いっぱしの槍術士を自負するのなら、ひとつ、強敵との戦いを制してもらおう。			いさおしき者たること							
この「六識の鮮血」を、北の大樹に仕掛けるんだ。森の中に身を潜め、獲物を待つ牙が君に襲いかかる……さあ、心を乱されることなく戦えるかな？			この「六識の鮮血」を、北の大樹に仕掛けるんだ。森の中に身を潜め、獲物を待つ牙が君に襲いかかる……さあ、心を乱されることなく戦えるかな？			いさおしき者たること							
よく戻ったね。君の見事な槍さばき、見せてもらったよ。			よく戻ったね。君の見事な槍さばき、見せてもらったよ。			いさおしき者たること							
ブラッドバットは、素早く派手な動きで敵を撹乱する。奴らの攻撃をやり返すのは、至難の業だったろう。			ブラッドバットは、素早く派手な動きで敵を撹乱する。奴らの攻撃をやり返すのは、至難の業だったろう。			いさおしき者たること							
まだまだ荒削りだが、その「勇気」は見事なものだ。イウェインが目をかけるのも頷ける。このマテオミ、君の「勇気」を認めよう。			まだまだ荒削りだが、その「勇気」は見事なものだ。イウェインが目をかけるのも頷ける。このマテオミ、君の「勇気」を認めよう。			いさおしき者たること							
さあ、次に君が向かうべきは、南部森林の酒房「バスカロンドラザーズ」。店主の「バスカロン」を訪ねるんだ。			さあ、次に君が向かうべきは、南部森林の酒房「バスカロンドラザーズ」。店主の「バスカロン」を訪ねるんだ。			いさおしき者たること							
彼は、昔から独自の考えを持つ槍術士だった。槍を置いた今でも、彼の助言を求め酒場を訪ねる者は多い。			彼は、昔から独自の考えを持つ槍術士だった。槍を置いた今でも、彼の助言を求め酒場を訪ねる者は多い。			いさおしき者たること							
かく言う私もそのひとりさ。彼との出会いは、きっと君の槍を高みへと導くだろう。			かく言う私もそのひとりさ。彼との出会いは、きっと君の槍を高みへと導くだろう。			いさおしき者たること							
お前が噂の槍術士だな？そろそろ来ると思っていたぜ。			お前が噂の槍術士だな？そろそろ来ると思っていたぜ。			いさおしき者たること							
俺はバスカロン。ひと昔前は、槍術士として街道の哨兵をしていた。ま、今は見てのとおり、一介の酒場の店主だがな。			俺はバスカロン。ひと昔前は、槍術士として街道の哨兵をしていた。ま、今は見てのとおり、一介の酒場の店主だがな。			いさおしき者たること							
俺に「勇気」を認めさせに来たんだろ？それじゃ、この「フルフラワーの蜂蜜酒」を受け取りな。			俺に「勇気」を認めさせに来たんだろ？それじゃ、この「フルフラワーの蜂蜜酒」を受け取りな。			いさおしき者たること							
そいつを、ここから南の岩間にある「ミスタルの槍」に捧げてこい。戻ってきたら、面白い話を聞かせてやろう。			そいつを、ここから南の岩間にある「ミスタルの槍」に捧げてこい。戻ってきたら、面白い話を聞かせてやろう。			いさおしき者たること							
「ミスタルの槍」に蜂蜜酒を捧げてきたようだな。それじゃ約束通り、話を聞かせてやろう。			「ミスタルの槍」に蜂蜜酒を捧げてきたようだな。それじゃ約束通り、話を聞かせてやろう。			いさおしき者たること							
「ミスタルの槍」は、初代槍術士ギルドマスター「ミスタル」の「勇気」に敬意を表して築かれた場所だ。			「ミスタルの槍」は、初代槍術士ギルドマスター「ミスタル」の「勇気」に敬意を表して築かれた場所だ。			いさおしき者たること							
ミスタルは、まさに「勇気の塊」のような男だったと言う。優れた槍術士だった彼は、槍術の真価を発揮するのが「勇気」であると気づいた。			ミスタルは、まさに「勇気の塊」のような男だったと言う。優れた槍術士だった彼は、槍術の真価を発揮するのが「勇気」であると気づいた。			いさおしき者たること							
そして、「勇気」を磨くにはグリダニアの槍術だけでは不十分であり、森の外の技も受け入れるべきであると説いたんだ。			そして、「勇気」を磨くにはグリダニアの槍術だけでは不十分であり、森の外の技も受け入れるべきであると説いたんだ。			いさおしき者たること							
だが、これは、古いグリダニアの姿勢に反するものだった。かつてのグリダニアは、余所者を忌避し、罪人のように扱っていたからな。			だが、これは、古いグリダニアの姿勢に反するものだった。かつてのグリダニアは、余所者を忌避し、罪人のように扱っていたからな。			いさおしき者たること							
ミスタルはこの姿勢を、不確かなものへの「不安」だと言った。そして、不安は勇気を鈍らせるとも。			ミスタルはこの姿勢を、不確かなものへの「不安」だと言った。そして、不安は勇気を鈍らせるとも。			いさおしき者たること							
ミスタルは、グリダニアの反対を押し切り、グリダニアの外からも腕利きの槍術士を迎えた。そうして「勇気」の術を磨きあげたのさ。			ミスタルは、グリダニアの反対を押し切り、グリダニアの外からも腕利きの槍術士を迎えた。そうして「勇気」の術を磨きあげたのさ。			いさおしき者たること							
槍術士ギルドは、まさに、ミスタルの「勇気」によって創られたギルドと言える。			槍術士ギルドは、まさに、ミスタルの「勇気」によって創られたギルドと言える。			いさおしき者たること							
俺たち槍術士は、ミスタルの意志を受け継いだ者。槍術士である限り、お前が腹に据えた「勇気」を忘れるんじゃないぞ。			俺たち槍術士は、ミスタルの意志を受け継いだ者。槍術士である限り、お前が腹に据えた「勇気」を忘れるんじゃないぞ。			いさおしき者たること							
ハハハ！　わざわざ証明してもらうまでもねぇ。お前が槍術に懸ける「勇気」、ここに来た時からわかってたことだ。			ハハハ！　わざわざ証明してもらうまでもねぇ。お前が槍術に懸ける「勇気」、ここに来た時からわかってたことだ。			いさおしき者たること							
俺の役目はこれで終いだ。3人目の槍術士は、北部森林「フォールゴウド」の宿屋にいる。「ヴォクレール」を訪ねるんだ。			俺の役目はこれで終いだ。3人目の槍術士は、北部森林「フォールゴウド」の宿屋にいる。「ヴォクレール」を訪ねるんだ。			いさおしき者たること							
あいつとは、若いころはよくやりあったが、結局決着は付かずじまいだったな……。あいつを頷かせるのは簡単じゃあねえだろうが、頑張りな。			あいつとは、若いころはよくやりあったが、結局決着は付かずじまいだったな……。あいつを頷かせるのは簡単じゃあねえだろうが、頑張りな。			いさおしき者たること							
お前が件の冒険者だな。俺はヴォクレール、お前と同じ冒険者あがりで、雇われの用心棒をしている。			お前が件の冒険者だな。俺はヴォクレール、お前と同じ冒険者あがりで、雇われの用心棒をしている。			いさおしき者たること							
槍術士としての「勇気」を見せに来たか。いいだろう、手加減なく試させてもらうぜ。			槍術士としての「勇気」を見せに来たか。いいだろう、手加減なく試させてもらうぜ。			いさおしき者たること							
どれほど鍛えた槍術士でも心が揺れ動いてしまう瞬間、それは、相手に「変化」が起きた時……。			どれほど鍛えた槍術士でも心が揺れ動いてしまう瞬間、それは、相手に「変化」が起きた時……。			いさおしき者たること							
戦いの途中で、姿形や立ち振る舞いに「変化」があると、そのことに思考を奪われ、槍が鈍ってしまう。お前の「勇気」で「変化」を制してみせな。			戦いの途中で、姿形や立ち振る舞いに「変化」があると、そのことに思考を奪われ、槍が鈍ってしまう。お前の「勇気」で「変化」を制してみせな。			いさおしき者たること							
お前の相手は「レッドバルーン」。猛る炎に呼び寄せられ、姿を現す魔物だ。			お前の相手は「レッドバルーン」。猛る炎に呼び寄せられ、姿を現す魔物だ。			いさおしき者たること							
まずは魔物「バルーン」を狩り、「バルーンの小指」を手に入れろ。これを「焚き火跡」に使って火を熾せ。			まずは魔物「バルーン」を狩り、「バルーンの小指」を手に入れろ。これを「焚き火跡」に使って火を熾せ。			いさおしき者たること							
怒りと共に燃え上がる「レッドバルーン」の業火……。さあ、お前は動じることなく戦えるか？見せてもらうぜ。			怒りと共に燃え上がる「レッドバルーン」の業火……。さあ、お前は動じることなく戦えるか？見せてもらうぜ。			いさおしき者たること							
レッドバルーンの炎に動じることなく戦ったか。フン。槍術士ならこの程度、当然だな。			レッドバルーンの炎に動じることなく戦ったか。フン。槍術士ならこの程度、当然だな。			いさおしき者たること							
相手がどんな変化を見せようと、手を止めることなく、着実に進み続けろ。それは戦いでも鍛錬でも同じ、それが「勇気」だ。			相手がどんな変化を見せようと、手を止めることなく、着実に進み続けろ。それは戦いでも鍛錬でも同じ、それが「勇気」だ。			いさおしき者たること							
……何を突っ立ってる。お前の「勇気」を認めてやると言ったんだ。			……何を突っ立ってる。お前の「勇気」を認めてやると言ったんだ。			いさおしき者たること							
まだまだひよっこだがな。俺たちに並べるよう、精々鍛錬に励むことだ。			まだまだひよっこだがな。俺たちに並べるよう、精々鍛錬に励むことだ。			いさおしき者たること							
さっさとイウェインの野郎に報告しに行くがいい。ああ、ついでに……たまにはバスカロンの酒場に顔を出せ、と伝えておけ。			さっさとイウェインの野郎に報告しに行くがいい。ああ、ついでに……たまにはバスカロンの酒場に顔を出せ、と伝えておけ。			いさおしき者たること							
無事、3人の槍術士から「勇気」を認めてもらうことができたようだな。			無事、3人の槍術士から「勇気」を認めてもらうことができたようだな。			いさおしき者たること							
もう、俺がとやかく言う必要もあるまい。これから先は、戦いの経験がお前を鍛え上げるだろう。			もう、俺がとやかく言う必要もあるまい。これから先は、戦いの経験がお前を鍛え上げるだろう。			いさおしき者たること							
試練とは、相応しき時に降りかかるもの。苦難が立ちはだかった時は、お前の成長の時だ。			試練とは、相応しき時に降りかかるもの。苦難が立ちはだかった時は、お前の成長の時だ。			いさおしき者たること							
俺からの指導は終いだが……最後にもう一度だけ、このギルドを訪れてもらいたい。この俺が、お前の「勇気」を見せてもらうためにな。			俺からの指導は終いだが……最後にもう一度だけ、このギルドを訪れてもらいたい。この俺が、お前の「勇気」を見せてもらうためにな。			いさおしき者たること							
腕を磨き、ギルドを訪れろ。次にお前に会う時を、楽しみに待っているぜ。			腕を磨き、ギルドを訪れろ。次にお前に会う時を、楽しみに待っているぜ。			いさおしき者たること							
敵の気配を感じた！！			敵の気配を感じた！！			いさおしき者たること							
槍術士ギルドマスター、イウェインは、冒険者の勇気を磨くために、一段と過酷な試練を課そうとしている。			槍術士ギルドマスター、イウェインは、冒険者の勇気を磨くために、一段と過酷な試練を課そうとしている。			命運分かつ槍							
ギルドの槍術士たちと試合をし、槍術の腕前を証明せよとのこと。戦いの準備ができたら「槍術士ギルド」内の指定された場所に立とう。			ギルドの槍術士たちと試合をし、槍術の腕前を証明せよとのこと。戦いの準備ができたら「槍術士ギルド」内の指定された場所に立とう。			命運分かつ槍							
槍術士たちとの試合に勝ち抜き、腕を証明することができた。「槍術士ギルド」の「イウェイン」に声をかけよう。			槍術士たちとの試合に勝ち抜き、腕を証明することができた。「槍術士ギルド」の「イウェイン」に声をかけよう。			命運分かつ槍							
